호선,역명,위도,경도,운행구간,설치위치
5,영등포구청,37.523923,126.896008,1F-B5,6번 출구
5,영등포구청,37.524222,126.895033,B4-B5,내부
5,영등포시장,37.522871,126.905308,1F-B1,2번 출구
5,영등포시장,37.522673,126.905099,B1-B6,내부
5,오금,37.501736,127.127737,1F-B1,5번 출구
5,오금,37.502238,127.127691,B1-B3,내부
5,오목교,37.526011,126.873846,1F-B1,2번 출구
5,오목교,37.524496,126.875137,B1-B3,내부
5,올림픽공원,37.516041,127.130371,1F-B2,3번 출구
5,올림픽공원,37.516227,127.13095,B2-B3,내부
5,왕십리,37.562001,127.037324,B4-B5,내부
5,우장산,37.549117,126.836466,1F-B1,1번 출구
5,우장산,37.548881,126.836309,B1-B2,내부
5,을지로4가,37.566614,126.998122,B1-B5,내부
5,장한평,37.561012,127.064158,1F-B2,7번 출구
5,장한평,37.561432,127.064611,B2-B3,내부
5,종로3가,37.570422,126.992108,B1-B4,내부
5,천호,37.537957,127.124903,1F-BM1,6번 출구
5,천호,37.538565,127.123547,B1-B3,내부
5,충정로,37.56073,126.962805,1F-B1,8번 출구
5,충정로,37.560437,126.963019,B1-B5,내부
5,행당,37.557205,127.029026,1F-B3,2번 출구
5,행당,37.557301,127.029474,B3-B5,내부
5,화곡,37.54187,126.840791,1F-B1,2번 출구
5,화곡,37.54164,126.8404,B1-B2,내부
6,고려대,37.589745,127.03662,1F-B1,4번 출구
6,고려대,37.590329,127.036263,B1-B4,내부
6,공덕,37.543873,126.950982,B1-B3,내부
6,광흥창,37.547704,126.931255,1F-B2,1번 출구
6,광흥창,37.547454,126.932009,B2-B3,내부
6,구산,37.611725,126.91717,1F-B1,4번 출구
6,녹사평,37.534457,126.986803,1F-B2,3번 출구
6,녹사평,37.534688,126.98667,B2-B5,내부
6,대흥,37.547671,126.942311,B1-B3,내부
6,돌곶이,37.611115,127.056792,1F-B1,3번 출구
6,돌곶이,37.610548,127.056457,B1-B2,내부
6,동묘앞,37.572288,127.015662,B2-B3,내부
6,디지털미디어시티,37.577417,126.902256,1F-B1,4번 출구
6,디지털미디어시티,37.576518,126.901865,B1-B2,내부
6,마포구청,37.564479,126.902252,1F-B2,8번 출구
6,마포구청,37.56353,126.903325,B2-B3,내부
6,망원,37.555871,126.910058,1F-B2,2번 출구
6,망원,37.556017,126.910103,B1-B2,내부
6,버티고개,37.548312,127.007386,1F-B1,2번 출구
6,버티고개,37.547934,127.006968,B1-B4,내부
6,보문,37.585292,127.019376,B2-B3,내부
6,봉화산,37.616751,127.09293,1F-B1,2번 출구
6,불광,37.61125,126.929417,1F-B1,8번 출구
6,불광,37.610906,126.92948,B1-B4,내부
6,삼각지,37.535487,126.974747,1F-B3,12번 출구
6,삼각지,37.535203,126.973332,1F-B3,7번 출구
6,삼각지,37.535567,126.974,B3-B4,내부
6,상수,37.547712,126.922956,B2-B3,내부
6,상월곡,37.605533,127.047265,1F-B2,4번 출구
6,새절,37.591807,126.913946,1F-B1,1번 출구
6,새절,37.59115,126.913621,B1-B2,내부
6,석계,37.614972,127.065402,1F-B2,1번 출구
6,석계,37.614958,127.066013,B2-B3,내부
6,신당,37.566629,127.01644,1F-B2,11번 출구
6,신당,37.566188,127.01616,B1-B3,내부
6,안암,37.58634,127.02877,1F-B2,1번 출구
6,안암,37.586261,127.029048,B2-B3,내부
6,약수,37.554759,127.010625,B1-B3,내부
6,역촌,37.605667,126.922863,1F-B1,4번 출구
6,역촌,37.606183,126.922827,B1-B4,내부
6,연신내,37.619251,126.920531,1F-B1,6번 출구
6,연신내,37.61886,126.921352,B1-B5,내부
6,월곡,37.601895,127.04122,1F-B2,1번 출구
6,월곡,37.601914,127.041495,B2-B3,내부
6,월드컵경기장,37.56975,126.898978,1F-B2,2번 출구
6,월드컵경기장,37.569624,126.899078,B2-B3,내부
6,응암,37.598838,126.915815,1F-B1,4번 출구
6,응암,37.598592,126.915577,B1-B2,내부
6,이태원,37.534591,126.994306,1F-B1,2번 출구
6,이태원,37.534485,126.994455,B1-B5,내부
6,증산,37.583865,126.909842,1F-B1,2번 출구
